customerid,total_purchase,count_orders,tot_items,first_purchase_date,last_purchase_date,num_unique_products,avg_order_val,avg_items_per_order,product_diversity_ratio,max_order_val,min_order_val,std_order_val,days_since_last_purchase,days_since_first_purchase,purchase_span,avg_days_between_orders,total_cancellation_count,total_cancellation_amnt,total_cancelled_qty,last_cancel_date,days_since_last_cancellation,cancellation_rate,order_completion_rate,return_purchase_ratio,per_day_purchase_amnt,activity_gap,churn,high_value_customer,high_future_cancellation
12346,77183.6,1,74215,2011-01-18 10:01:00,2011-01-18 10:01:00,1,77183.6,74215.0,1.3474365020548406e-05,77183.6,77183.6,0.0,234,234,0,0.0,1.0,77183.6,74215.0,2011-01-18 10:17:00,234.0,0.5,0.5,1.0,329.8444444444445,0,1,0,0
12347,2790.86,5,1590,2010-12-07 14:57:00,2011-08-02 08:48:00,82,558.172,318.0,0.05157232704402516,711.79,382.52,130.4952770026563,38,275,237,59.25,0.0,0.0,0.0,,275.0,0.0,1.0,0.0,10.14858181818182,0,0,1,0
12348,1487.24,3,2124,2010-12-16 19:09:00,2011-04-05 10:47:00,22,495.74666666666667,708.0,0.010357815442561206,892.8,227.44,350.86715510764657,157,266,109,54.5,0.0,0.0,0.0,,266.0,0.0,1.0,0.0,5.5911278195488725,1,0,0,0
12350,334.4,1,197,2011-02-02 16:01:00,2011-02-02 16:01:00,17,334.4,197.0,0.08629441624365482,334.4,334.4,0.0,218,218,0,0.0,0.0,0.0,0.0,,218.0,0.0,1.0,0.0,1.5339449541284402,0,1,0,0
12352,1561.81,5,254,2011-02-16 12:33:00,2011-03-22 16:08:00,26,312.36199999999997,50.8,0.10236220472440945,840.3,120.33,302.98027373081567,170,205,34,8.5,3.0,960.63,66.0,2011-03-22 16:07:00,170.0,0.375,0.625,0.25984251968503935,7.618585365853658,1,0,0,0
12353,89.0,1,20,2011-05-19 17:47:00,2011-05-19 17:47:00,4,89.0,20.0,0.2,89.0,89.0,0.0,112,112,0,0.0,0.0,0.0,0.0,,112.0,0.0,1.0,0.0,0.7946428571428571,0,1,0,0
12354,1079.4,1,530,2011-04-21 13:11:00,2011-04-21 13:11:00,58,1079.4,530.0,0.10943396226415095,1079.4,1079.4,0.0,140,140,0,0.0,0.0,0.0,0.0,,140.0,0.0,1.0,0.0,7.710000000000001,0,1,0,0
12355,459.4,1,240,2011-05-09 13:49:00,2011-05-09 13:49:00,13,459.4,240.0,0.05416666666666667,459.4,459.4,0.0,122,122,0,0.0,0.0,0.0,0.0,,122.0,0.0,1.0,0.0,3.765573770491803,0,1,0,0
12356,2753.08,2,1586,2011-01-18 09:50:00,2011-04-08 12:33:00,53,1376.54,793.0,0.033417402269861285,2271.62,481.46000000000004,1265.83427540891,154,234,80,80.0,0.0,0.0,0.0,,234.0,0.0,1.0,0.0,11.765299145299146,0,0,0,0
12358,484.86,1,100,2011-07-12 10:04:00,2011-07-12 10:04:00,12,484.86,100.0,0.12,484.86,484.86,0.0,59,59,0,0.0,0.0,0.0,0.0,,59.0,0.0,1.0,0.0,8.217966101694916,0,0,0,0
12359,3495.73,3,965,2011-01-12 12:43:00,2011-06-03 12:26:00,135,1165.2433333333333,321.6666666666667,0.13989637305699482,1838.9099999999999,547.5,647.5187344265286,98,240,141,70.5,1.0,35.8,4.0,2011-04-13 13:38:00,148.0,0.25,0.75,0.004145077720207254,14.565541666666666,0,0,1,0
12360,1618.28,2,674,2011-05-23 09:43:00,2011-08-19 10:10:00,63,809.14,337.0,0.09347181008902077,1083.58,534.7,388.1167700576721,21,109,88,88.0,0.0,0.0,0.0,,109.0,0.0,1.0,0.0,14.846605504587156,0,0,0,0
12361,189.9,1,91,2011-02-25 13:51:00,2011-02-25 13:51:00,10,189.9,91.0,0.10989010989010989,189.9,189.9,0.0,195,195,0,0.0,0.0,0.0,0.0,,195.0,0.0,1.0,0.0,0.9738461538461539,0,1,0,0
12362,1747.35,4,988,2011-02-17 10:30:00,2011-08-11 15:02:00,89,436.8375,247.0,0.09008097165991903,495.24,303.76,89.36285968827693,28,204,175,58.333333333333336,2.0,22.8,10.0,2011-08-19 10:38:00,21.0,0.3333333333333333,0.6666666666666666,0.010121457489878543,8.565441176470587,0,0,1,0
12363,552.0,2,408,2011-04-11 13:29:00,2011-08-22 10:18:00,23,276.0,204.0,0.056372549019607844,299.1,252.9,32.668333290818495,18,150,132,132.0,0.0,0.0,0.0,,150.0,0.0,1.0,0.0,3.68,0,1,0,0
12364,623.92,1,555,2011-08-19 15:24:00,2011-08-19 15:24:00,34,623.92,555.0,0.06126126126126126,623.92,623.92,0.0,20,20,0,0.0,0.0,0.0,0.0,,20.0,0.0,1.0,0.0,31.195999999999998,0,0,0,0
12365,641.38,2,174,2011-02-21 13:51:00,2011-02-21 14:04:00,22,320.69,87.0,0.12643678160919541,320.69,320.69,0.0,199,199,0,0.0,1.0,320.69,1.0,2011-02-21 14:02:00,199.0,0.3333333333333333,0.6666666666666666,0.005747126436781609,3.2230150753768845,1,1,0,0
12370,2802.66,3,1972,2010-12-14 12:58:00,2011-03-10 12:48:00,125,934.2199999999999,657.3333333333334,0.06338742393509128,1587.07,277.2,654.9449563894663,183,268,85,42.5,0.0,0.0,0.0,,268.0,0.0,1.0,0.0,10.45768656716418,1,0,0,0
12372,914.9200000000001,2,592,2011-02-16 12:46:00,2011-05-11 10:43:00,32,457.46000000000004,296.0,0.05405405405405406,515.7,399.22,82.36379787260907,121,205,83,83.0,0.0,0.0,0.0,,205.0,0.0,1.0,0.0,4.463024390243903,0,0,0,0
12373,364.6,1,197,2011-02-01 13:10:00,2011-02-01 13:10:00,14,364.6,197.0,0.07106598984771574,364.6,364.6,0.0,219,219,0,0.0,0.0,0.0,0.0,,219.0,0.0,1.0,0.0,1.6648401826484018,0,1,0,0
12375,230.3,1,87,2011-09-02 14:23:00,2011-09-02 14:23:00,11,230.3,87.0,0.12643678160919541,230.3,230.3,0.0,6,6,0,0.0,0.0,0.0,0.0,,6.0,0.0,1.0,0.0,38.38333333333333,0,0,0,0
12377,1628.12,2,944,2010-12-20 09:37:00,2011-01-28 15:45:00,72,814.06,472.0,0.07627118644067797,1001.52,626.6,265.10847440246033,223,263,39,39.0,0.0,0.0,0.0,,263.0,0.0,1.0,0.0,6.190570342205323,1,1,0,0
12378,4008.62,1,2529,2011-08-02 10:34:00,2011-08-02 10:34:00,219,4008.62,2529.0,0.08659549228944247,4008.62,4008.62,0.0,38,38,0,0.0,0.0,0.0,0.0,,38.0,0.0,1.0,0.0,105.49,0,1,0,0
