customerid,total_purchase,count_orders,tot_items,first_purchase_date,last_purchase_date,num_unique_products,avg_order_val,avg_items_per_order,product_diversity_ratio,max_order_val,min_order_val,std_order_val,days_since_last_purchase,days_since_first_purchase,purchase_span,avg_days_between_orders,total_cancellation_count,total_cancellation_amnt,total_cancelled_qty,last_cancel_date,days_since_last_cancellation,cancellation_rate,order_completion_rate,return_purchase_ratio,per_day_purchase_amnt,activity_gap,churn,high_value_customer,high_future_cancellation,cluster_label,cluster_name,if_label,if_score,lof_label,lof_score
12346,77183.6,1,74215,2011-01-18 10:01:00,2011-01-18 10:01:00,1,77183.6,74215.0,1.3474365020548406e-05,77183.6,77183.6,0.0,234,234,0,0.0,1.0,77183.6,74215.0,2011-01-18 10:17:00,234.0,0.5,0.5,1.0,329.8444444444445,0,1,0,0,0,One-Time Churners,1,-0.11838048751077745,1,-1.5029294109882803
12347,2790.86,5,1590,2010-12-07 14:57:00,2011-08-02 08:48:00,82,558.172,318.0,0.0515723270440251,711.79,382.52,130.4952770026563,38,275,237,59.25,0.0,0.0,0.0,,275.0,0.0,1.0,0.0,10.14858181818182,0,0,1,0,1,Engaged Regulars,0,0.11990974422503459,0,-0.9900778461013481
12348,1487.24,3,2124,2010-12-16 19:09:00,2011-04-05 10:47:00,22,495.7466666666666,708.0,0.0103578154425612,892.8,227.44,350.86715510764657,157,266,109,54.5,0.0,0.0,0.0,,266.0,0.0,1.0,0.0,5.5911278195488725,1,0,0,0,2,At-Risk Irregulars,0,0.07169255867054891,0,-1.061547729147812
12350,334.4,1,197,2011-02-02 16:01:00,2011-02-02 16:01:00,17,334.4,197.0,0.0862944162436548,334.4,334.4,0.0,218,218,0,0.0,0.0,0.0,0.0,,218.0,0.0,1.0,0.0,1.5339449541284402,0,1,0,0,0,One-Time Churners,0,0.1488712101801879,0,-1.004057664526584
12352,1561.81,5,254,2011-02-16 12:33:00,2011-03-22 16:08:00,26,312.362,50.8,0.1023622047244094,840.3,120.33,302.98027373081567,170,205,34,8.5,3.0,960.63,66.0,2011-03-22 16:07:00,170.0,0.375,0.625,0.2598425196850393,7.618585365853658,1,0,0,0,2,At-Risk Irregulars,0,0.05387012868801988,0,-1.231493923057882
12353,89.0,1,20,2011-05-19 17:47:00,2011-05-19 17:47:00,4,89.0,20.0,0.2,89.0,89.0,0.0,112,112,0,0.0,0.0,0.0,0.0,,112.0,0.0,1.0,0.0,0.7946428571428571,0,1,0,0,0,One-Time Churners,0,0.13381824958477284,0,-1.189999725212097
12354,1079.4,1,530,2011-04-21 13:11:00,2011-04-21 13:11:00,58,1079.4,530.0,0.1094339622641509,1079.4,1079.4,0.0,140,140,0,0.0,0.0,0.0,0.0,,140.0,0.0,1.0,0.0,7.710000000000001,0,1,0,0,0,One-Time Churners,0,0.09611089849576065,0,-1.1645345444559003
12355,459.4,1,240,2011-05-09 13:49:00,2011-05-09 13:49:00,13,459.4,240.0,0.0541666666666666,459.4,459.4,0.0,122,122,0,0.0,0.0,0.0,0.0,,122.0,0.0,1.0,0.0,3.765573770491803,0,1,0,0,0,One-Time Churners,0,0.15016428106547147,0,-1.1047107341621443
12356,2753.08,2,1586,2011-01-18 09:50:00,2011-04-08 12:33:00,53,1376.54,793.0,0.0334174022698612,2271.62,481.46,1265.83427540891,154,234,80,80.0,0.0,0.0,0.0,,234.0,0.0,1.0,0.0,11.765299145299146,0,0,0,0,1,Engaged Regulars,0,0.10824028983482664,0,-1.2689026641373409
12358,484.86,1,100,2011-07-12 10:04:00,2011-07-12 10:04:00,12,484.86,100.0,0.12,484.86,484.86,0.0,59,59,0,0.0,0.0,0.0,0.0,,59.0,0.0,1.0,0.0,8.217966101694916,0,0,0,0,0,One-Time Churners,0,0.14777385962675793,0,-1.0028672457143364
12359,3495.73,3,965,2011-01-12 12:43:00,2011-06-03 12:26:00,135,1165.243333333333,321.6666666666667,0.1398963730569948,1838.91,547.5,647.5187344265286,98,240,141,70.5,1.0,35.8,4.0,2011-04-13 13:38:00,148.0,0.25,0.75,0.0041450777202072,14.565541666666666,0,0,1,0,1,Engaged Regulars,0,0.11836330331201866,0,-1.1332348695902867
12360,1618.28,2,674,2011-05-23 09:43:00,2011-08-19 10:10:00,63,809.14,337.0,0.0934718100890207,1083.58,534.7,388.1167700576721,21,109,88,88.0,0.0,0.0,0.0,,109.0,0.0,1.0,0.0,14.846605504587156,0,0,0,0,1,Engaged Regulars,0,0.13160059887556552,0,-1.1904144989960477
12361,189.9,1,91,2011-02-25 13:51:00,2011-02-25 13:51:00,10,189.9,91.0,0.1098901098901098,189.9,189.9,0.0,195,195,0,0.0,0.0,0.0,0.0,,195.0,0.0,1.0,0.0,0.973846153846154,0,1,0,0,0,One-Time Churners,0,0.16308129319388776,0,-0.9861534774024896
12362,1747.35,4,988,2011-02-17 10:30:00,2011-08-11 15:02:00,89,436.8375,247.0,0.090080971659919,495.24,303.76,89.36285968827693,28,204,175,58.333333333333336,2.0,22.8,10.0,2011-08-19 10:38:00,21.0,0.3333333333333333,0.6666666666666666,0.0101214574898785,8.565441176470587,0,0,1,0,1,Engaged Regulars,0,0.13434882682536925,0,-0.979400423466182
12363,552.0,2,408,2011-04-11 13:29:00,2011-08-22 10:18:00,23,276.0,204.0,0.0563725490196078,299.1,252.9,32.668333290818495,18,150,132,132.0,0.0,0.0,0.0,,150.0,0.0,1.0,0.0,3.68,0,1,0,0,1,Engaged Regulars,0,0.09120444381311826,0,-1.008992329696922
12364,623.92,1,555,2011-08-19 15:24:00,2011-08-19 15:24:00,34,623.92,555.0,0.0612612612612612,623.92,623.92,0.0,20,20,0,0.0,0.0,0.0,0.0,,20.0,0.0,1.0,0.0,31.196,0,0,0,0,0,One-Time Churners,0,0.08720617700874389,0,-1.0239268098625998
12365,641.38,2,174,2011-02-21 13:51:00,2011-02-21 14:04:00,22,320.69,87.0,0.1264367816091954,320.69,320.69,0.0,199,199,0,0.0,1.0,320.69,1.0,2011-02-21 14:02:00,199.0,0.3333333333333333,0.6666666666666666,0.0057471264367816,3.2230150753768845,1,1,0,0,2,At-Risk Irregulars,0,0.06545781957322044,0,-1.107517543044582
12370,2802.66,3,1972,2010-12-14 12:58:00,2011-03-10 12:48:00,125,934.22,657.3333333333334,0.0633874239350912,1587.07,277.2,654.9449563894663,183,268,85,42.5,0.0,0.0,0.0,,268.0,0.0,1.0,0.0,10.45768656716418,1,0,0,0,2,At-Risk Irregulars,0,0.01172232559156361,0,-1.1416939911445878
12372,914.92,2,592,2011-02-16 12:46:00,2011-05-11 10:43:00,32,457.46,296.0,0.054054054054054,515.7,399.22,82.36379787260907,121,205,83,83.0,0.0,0.0,0.0,,205.0,0.0,1.0,0.0,4.463024390243903,0,0,0,0,1,Engaged Regulars,0,0.13837608218531094,0,-1.031140791918785
12373,364.6,1,197,2011-02-01 13:10:00,2011-02-01 13:10:00,14,364.6,197.0,0.0710659898477157,364.6,364.6,0.0,219,219,0,0.0,0.0,0.0,0.0,,219.0,0.0,1.0,0.0,1.6648401826484018,0,1,0,0,0,One-Time Churners,0,0.1424524472008014,0,-1.038447250939393
12375,230.3,1,87,2011-09-02 14:23:00,2011-09-02 14:23:00,11,230.3,87.0,0.1264367816091954,230.3,230.3,0.0,6,6,0,0.0,0.0,0.0,0.0,,6.0,0.0,1.0,0.0,38.38333333333333,0,0,0,0,0,One-Time Churners,0,0.1074283747214651,0,-1.0228803469751202
12377,1628.12,2,944,2010-12-20 09:37:00,2011-01-28 15:45:00,72,814.06,472.0,0.0762711864406779,1001.52,626.6,265.1084744024604,223,263,39,39.0,0.0,0.0,0.0,,263.0,0.0,1.0,0.0,6.190570342205323,1,1,0,0,2,At-Risk Irregulars,0,0.01627534920480178,0,-1.028104576406957
12378,4008.62,1,2529,2011-08-02 10:34:00,2011-08-02 10:34:00,219,4008.62,2529.0,0.0865954922894424,4008.62,4008.62,0.0,38,38,0,0.0,0.0,0.0,0.0,,38.0,0.0,1.0,0.0,105.49,0,1,0,0,1,Engaged Regulars,0,0.004499541830867759,1,-1.9134233660770754
12379,459.84,1,211,2011-06-22 16:32:00,2011-06-22 16:32:00,20,459.84,211.0,0.0947867298578199,459.84,459.84,0.0,78,78,0,0.0,1.0,1.95,1.0,2011-07-07 10:26:00,64.0,0.5,0.5,0.0047393364928909,5.895384615384615,0,0,0,0,0,One-Time Churners,0,0.08539122607744137,0,-0.9599957408982039
12380,607.5500000000001,1,293,2011-06-07 09:49:00,2011-06-07 09:49:00,36,607.5500000000001,293.0,0.1228668941979522,607.5500000000001,607.5500000000001,0.0,94,94,0,0.0,0.0,0.0,0.0,,94.0,0.0,1.0,0.0,6.463297872340426,0,0,1,0,0,One-Time Churners,0,0.13460400224069663,0,-1.0037187871674162
12381,1268.74,1,568,2011-08-12 09:57:00,2011-08-12 09:57:00,62,1268.74,568.0,0.1091549295774647,1268.74,1268.74,0.0,28,28,0,0.0,1.0,41.35,25.0,2011-08-31 17:10:00,8.0,0.5,0.5,0.0440140845070422,45.31214285714286,0,0,0,0,0,One-Time Churners,0,0.04894197184896132,0,-1.3877611088500956
12383,1850.56,5,1532,2010-12-22 14:28:00,2011-06-08 08:02:00,84,370.112,306.4,0.0548302872062663,651.16,99.45,253.75093806723163,93,260,167,41.75,1.0,11.25,3.0,2011-01-19 14:36:00,232.0,0.1666666666666666,0.8333333333333334,0.0019582245430809,7.117538461538461,1,1,0,0,2,At-Risk Irregulars,0,0.0897251416489856,0,-0.991860970730014
12384,292.69,1,62,2011-08-10 11:23:00,2011-08-10 11:23:00,14,292.69,62.0,0.2258064516129032,292.69,292.69,0.0,30,30,0,0.0,0.0,0.0,0.0,,30.0,0.0,1.0,0.0,9.756333333333334,0,0,0,0,0,One-Time Churners,0,0.12957433999163798,0,-1.2842320076792169
12386,401.9,2,354,2010-12-08 09:53:00,2011-01-06 12:37:00,10,200.95,177.0,0.0282485875706214,258.9,143.0,81.95367593952083,246,275,29,29.0,0.0,0.0,0.0,,275.0,0.0,1.0,0.0,1.4614545454545451,1,1,0,0,2,At-Risk Irregulars,0,0.039195113317719577,0,-1.0726176103073748
12388,1668.34,4,760,2011-01-17 11:12:00,2011-07-14 13:28:00,50,417.085,190.0,0.0657894736842105,902.09,124.05,348.2401861263765,56,235,178,59.333333333333336,0.0,0.0,0.0,,235.0,0.0,1.0,0.0,7.09931914893617,0,0,0,0,1,Engaged Regulars,0,0.14921105677792523,0,-0.9786313946188432
12393,1061.1,3,522,2011-01-11 09:47:00,2011-04-08 09:45:00,33,353.70000000000005,174.0,0.0632183908045977,462.5,177.00000000000003,154.38707847485165,154,241,86,43.0,0.0,0.0,0.0,,241.0,0.0,1.0,0.0,4.402904564315353,1,0,0,0,2,At-Risk Irregulars,0,0.08931787998306462,0,-0.9631142719635661
12394,381.08,1,182,2011-05-06 14:01:00,2011-05-06 14:01:00,21,381.08,182.0,0.1153846153846153,381.08,381.08,0.0,125,125,0,0.0,0.0,0.0,0.0,,125.0,0.0,1.0,0.0,3.04864,0,0,0,0,0,One-Time Churners,0,0.1608267141576078,0,-0.9707279339980431
12395,1899.57,8,1629,2010-12-03 16:35:00,2011-08-19 15:18:00,65,237.44625,203.625,0.0399017802332719,346.1,149.97,84.79090684695248,20,279,258,36.85714285714285,2.0,17.8,4.0,2011-02-18 15:16:00,202.0,0.2,0.8,0.0024554941682013,6.808494623655914,0,0,0,0,1,Engaged Regulars,0,0.12648416436693172,0,-0.9967842437104567
