customerid,product_cluster_diversity,primary_product_cluster,total_quantity,product_cluster_entropy
12346.0,1,1,0,-1.000000082690371e-10
12347.0,11,2,1632,2.1357373816252165
12348.0,3,4,2268,0.9433483920290392
12350.0,6,2,197,1.5992212559872683
12352.0,7,4,200,1.643942272727807
12353.0,1,2,20,-1.000000082690371e-10
12354.0,6,4,594,1.5972148054865094
12355.0,3,1,240,1.0928305532284885
12356.0,7,2,1658,1.5814717663259534
12358.0,3,2,112,0.6870920270799715
12359.0,10,2,1050,1.7344835832488554
12360.0,7,2,712,1.5634355305411378
12361.0,3,4,101,1.0900596584107838
12362.0,9,4,1042,1.6548942109161997
12363.0,4,2,528,1.1709971257162124
12364.0,5,2,558,1.3623312481006695
12365.0,7,4,173,1.7647521644972561
12370.0,7,0,2078,1.9050242841051976
12372.0,5,4,642,1.2350210263113093
12373.0,4,9,197,0.991138896213094
12375.0,3,9,119,0.8532361502557784
12377.0,8,4,1024,1.7261267604313075
12378.0,10,4,2795,1.9546602729348488
12379.0,4,2,232,1.204006918610495
12380.0,5,9,333,1.1942746783932032
12381.0,8,4,569,1.8373281317338135
12383.0,8,2,1563,1.5875511500132018
12384.0,5,2,62,1.3316643097930148
12386.0,3,2,378,0.9949236322717752
12388.0,7,1,864,1.813237495863074
12393.0,7,9,608,1.24748891085187
12394.0,3,4,194,1.061208440605252
12395.0,7,2,1639,1.4532059403766966
12397.0,8,4,772,1.5095798302730008
12399.0,8,2,1313,1.5228753576104364
12401.0,3,2,11,0.9502705389332347
12402.0,5,9,104,1.4241299168467734
12405.0,6,2,881,1.5150392668219694
12406.0,7,2,1036,1.4882804238839333
12407.0,6,2,1263,1.3753609255435502
12408.0,8,4,1162,1.638942441927
12409.0,7,1,3358,1.7916836260454037
12410.0,6,2,209,1.5342502735142924
12412.0,7,4,715,1.3732633559279697
12413.0,4,9,201,1.2349460684306304
12414.0,5,4,300,1.3878000309952632
12415.0,10,4,73832,1.6919870174682192
12417.0,11,2,1468,1.9078626373201362
12418.0,6,4,458,1.473217483272529
12421.0,6,2,442,1.4954783643910883
12422.0,6,9,390,1.3592181086059956
12423.0,10,4,1181,2.0518323607281146
12424.0,6,4,890,1.6367836772023883
12426.0,6,4,283,1.6369968933021561
12427.0,3,4,70,0.7902679677745903
12428.0,11,9,3638,1.9657183132622469
12429.0,9,2,1133,1.8717980840989252
12431.0,9,9,2171,2.0164141734090704
12432.0,8,9,1523,1.9315274007855052
12433.0,7,4,3810,1.4518837719323685
12434.0,5,9,60,1.3263839358605034
12435.0,5,2,951,1.4432909652960482
12436.0,4,2,226,1.0139046605345654
12437.0,6,2,1846,1.3982145057212567
12438.0,7,4,614,1.4569626060775875
12441.0,3,4,121,0.7595473911748635
12444.0,9,2,697,1.616183821482621
