model_name,target,unsupervised_features,cv_f1_mean,cv_f1_std,cv_roc_mean,cv_roc_std,f1,roc_auc,accuracy
Logistic Regression,churn,False,0.6602917529941665,0.017360452926438327,0.7483997755561698,0.013223740800088977,0.6666666666666666,0.7366367502883506,0.6686478454680534
KNN,churn,False,0.5474559403531588,0.022230353046587326,0.6754630311980927,0.01572579357894364,0.5856164383561644,0.6759975129757785,0.6404160475482912
Naive Bayes,churn,False,0.6534147136237525,0.016075941727578195,0.7326609058086555,0.013472271778551422,0.6666666666666666,0.7367809256055363,0.6760772659732541
SVM,churn,False,0.6604836558635775,0.014848573901090659,0.7329433368872504,0.010530661987439549,0.6697530864197531,0.7308607266435987,0.6820208023774146
Decision Tree,churn,False,0.6214897661951261,0.010191435336544593,0.7003007506059337,0.01192847861323731,0.6425470332850941,0.6940689878892734,0.6329866270430906
Random Forest,churn,False,0.591597765649525,0.02278690408513027,0.7223330800048885,0.012829390376049325,0.5958188153310104,0.7130911188004614,0.6552748885586924
Gradient Boosting,churn,False,0.6302542580285296,0.011171910812737896,0.7411776475405254,0.009795054343464052,0.6085470085470085,0.7311670991926182,0.6597325408618128
XGBoost,churn,False,0.5822414708365068,0.01654649325673035,0.7168301922254333,0.016170867528127582,0.5843071786310517,0.6897977941176471,0.6300148588410104
CatBoost,churn,False,0.5929960864237704,0.025451100480502673,0.7243358085782791,0.012378919454452323,0.5811965811965812,0.7060715830449826,0.6359583952451708
LightGBM,churn,False,0.5968717159455729,0.01605630591371978,0.711073870938268,0.013017068971182244,0.6138933764135702,0.7058192762399077,0.6448736998514116
