model_name,target,unsupervised_features,cv_f1_mean,cv_f1_std,cv_roc_mean,cv_roc_std,f1,roc_auc,accuracy
Logistic Regression,churn,True,0.6573002056025242,0.016308059331620547,0.7451610566538994,0.014133733342408361,0.6616766467065869,0.7287431516724336,0.6641901931649331
KNN,churn,True,0.5736310293741833,0.011024966507262987,0.6902661367769255,0.012876517771764828,0.5406360424028268,0.6715686274509804,0.6136701337295691
Naive Bayes,churn,True,0.6606855628995849,0.006559109651079573,0.7328312387425323,0.008983150770436795,0.6870451237263464,0.7350057670126875,0.6805349182763745
SVM,churn,True,0.6554699419148907,0.016158721148336937,0.7340941185977734,0.011685529651861504,0.6605222734254992,0.731058967704729,0.6716196136701337
Decision Tree,churn,True,0.6344356630155075,0.007985441035997926,0.7054900285973534,0.005289794969527431,0.6291079812206573,0.688693951845444,0.6478454680534919
Random Forest,churn,True,0.583297076342703,0.016044146770614012,0.7240308088094329,0.01226454330042608,0.5910652920962199,0.7152177047289503,0.6463595839524517
Gradient Boosting,churn,True,0.6129896671528366,0.010122789114125301,0.7337846087850464,0.011039956679937079,0.6104553119730185,0.7271392012687428,0.6567607726597325
XGBoost,churn,True,0.5789932580803905,0.024144248686731516,0.7145608888476827,0.012055836626572067,0.5771812080536913,0.690897130911188,0.62555720653789
CatBoost,churn,True,0.5975959672401414,0.02127320768827676,0.7279646094924325,0.01502099934052471,0.5783132530120482,0.7003135813148789,0.6359583952451708
LightGBM,churn,True,0.5917360828030815,0.020969134208071876,0.7120737025788729,0.012441457581214036,0.5859247135842881,0.6908340542099193,0.6240713224368499
