model_name,target,unsupervised_features,cv_f1_mean,cv_f1_std,cv_roc_mean,cv_roc_std,f1,roc_auc,accuracy
Logistic Regression,high_risk,False,0.16378444392349062,0.018763039835249174,0.7542544585401728,0.036929789306577664,0.1797752808988764,0.8040123456790124,0.7830609212481426
KNN,high_risk,False,0.08278260869565217,0.1035190274100217,0.6521888214745357,0.08014531779093241,0.14285714285714285,0.6510185185185184,0.9643387815750372
Naive Bayes,high_risk,False,0.19290897627475317,0.009596677836757765,0.7526884537598824,0.02757627519780019,0.22388059701492538,0.8255555555555556,0.8454680534918276
SVM,high_risk,False,0.16815504315504315,0.025165627314195114,0.6948170619599191,0.040362364131019575,0.16806722689075632,0.689320987654321,0.8528974739970282
Decision Tree,high_risk,False,0.13790332523544385,0.019998751140279332,0.6142480235337379,0.047976431746820404,0.10666666666666667,0.5712962962962963,0.7013372956909361
Random Forest,high_risk,False,0.034782608695652174,0.06956521739130435,0.7313793895936753,0.028944714783253597,0.07692307692307693,0.7897530864197531,0.9643387815750372
Gradient Boosting,high_risk,False,0.18881922675026122,0.17491164240551751,0.7314350064350065,0.03368448475200591,0.06451612903225806,0.7612654320987655,0.9569093610698366
XGBoost,high_risk,False,0.15314979872701012,0.11843298908149144,0.6865021143592572,0.03510913457327651,0.26666666666666666,0.7780864197530863,0.9673105497771174
CatBoost,high_risk,False,0.08557312252964426,0.0913368523494407,0.6924305938591653,0.06535047017914813,0.14814814814814814,0.6935185185185185,0.9658246656760773
LightGBM,high_risk,False,0.16402282264351228,0.09220253981376454,0.6765379665379665,0.05375647880375086,0.18181818181818182,0.7322222222222222,0.9598811292719168
