model_name,target,unsupervised_features,cv_f1_mean,cv_f1_std,cv_roc_mean,cv_roc_std,f1,roc_auc,accuracy
Logistic Regression,high_value,False,0.6257686480765404,0.030701996537684975,0.8578249601275918,0.01868923433617679,0.6173913043478261,0.8488799854307048,0.7708333333333334
KNN,high_value,False,0.5586099243529723,0.02998368573326791,0.8046352460304366,0.0152314434100022,0.4810126582278481,0.7409397195410673,0.7864583333333334
Naive Bayes,high_value,False,0.6226362039611038,0.031079492074917257,0.8286018160605275,0.019985092430488936,0.5919282511210763,0.8187579675833182,0.7630208333333334
SVM,high_value,False,0.6286257131236537,0.029428580231258234,0.8509524732678091,0.019453759734644274,0.5789473684210527,0.8187579675833182,0.75
Decision Tree,high_value,False,0.5920760559086174,0.028570148619737706,0.7920131873571075,0.04450826320897808,0.5726872246696035,0.7938262611546165,0.7473958333333334
Random Forest,high_value,False,0.6083140002878331,0.04398562597009685,0.8501785370558057,0.018375652381360567,0.5405405405405406,0.8403933709706792,0.8229166666666666
Gradient Boosting,high_value,False,0.6087880364813003,0.02887514880340364,0.851321934342125,0.01843714011677293,0.6172839506172839,0.8651247495902386,0.8385416666666666
XGBoost,high_value,False,0.5933669083472141,0.030280326042012237,0.835534140995121,0.017291141774560613,0.5680473372781065,0.8334729557457657,0.8098958333333334
CatBoost,high_value,False,0.6181670399317458,0.019941971388643395,0.8383291850315444,0.018940105535877057,0.5766871165644172,0.823747951192861,0.8203125
LightGBM,high_value,False,0.599230190302118,0.030793862620955553,0.8305459593340719,0.01851138920851381,0.5730994152046783,0.8199235112001457,0.8098958333333334
