model_name,target,unsupervised_features,cv_f1_mean,cv_f1_std,cv_roc_mean,cv_roc_std,f1,roc_auc,accuracy
Logistic Regression,high_value,True,0.6383106521007147,0.031519350666235416,0.8639681236791038,0.01731902404332017,0.6330275229357798,0.8537606993261702,0.7916666666666666
KNN,high_value,True,0.5576827977977896,0.014269694845252196,0.793941803961314,0.015774371692004508,0.5161290322580645,0.7610453469313423,0.8046875
Naive Bayes,high_value,True,0.6340181296434942,0.045509832651790524,0.8335978445329625,0.023390172295603872,0.6060606060606061,0.8221635403387362,0.796875
SVM,high_value,True,0.6232308289307787,0.028490297707295827,0.8463462398158406,0.019240258534202942,0.5662100456621004,0.8220360590056456,0.7526041666666666
Decision Tree,high_value,True,0.5902162624594779,0.028962577592854154,0.7904144402935238,0.03604255402253292,0.543859649122807,0.7512839191404116,0.7291666666666666
Random Forest,high_value,True,0.6098399620554928,0.04792045292016487,0.849062528971331,0.02284854087822952,0.5695364238410596,0.8516117282826443,0.8307291666666666
Gradient Boosting,high_value,True,0.6202094164424217,0.02790326155658373,0.8475492925102724,0.017883998853117578,0.6125,0.8524130395192133,0.8385416666666666
XGBoost,high_value,True,0.6059872200278992,0.03148217469007902,0.8277035260565206,0.017340691668249034,0.5679012345679012,0.8287015115643781,0.8177083333333334
CatBoost,high_value,True,0.6214903742158772,0.028476192757561074,0.8430361994327512,0.015980735154399673,0.5766871165644172,0.8303041340375159,0.8203125
LightGBM,high_value,True,0.6234590016419996,0.030015173399687026,0.8281769667114494,0.01642829371532972,0.5882352941176471,0.8390457111637224,0.8177083333333334
